SimFin ID,Company,Ticker,ISIN,Price Close,MCAP,Volume (SMA 2m),Cash and eq.,Cur. liab.,Liabilities,Assets,D&A,CROIC,Taxes
242,21st Century Fox,FOX_old,n/a,28.77,53423860363,1232190.2381,21281000000,7935000000,32651000000,65886000000,617000000,0.10884,-1219000000
22219,3M CO,MMM,US88579Y1010,172.38,99294231412,2699496.61905,4466000000,7282000000,34164000000,45079000000,1774000000,0.21796,-1235000000
63877,ABBOTT LABORATORIES,ABT,US0028241000,106.66,188844729693,5257420.5,5037000000,10959000000,37978000000,68776000000,3163000000,0.07484,-412000000
61199,AbbVie Inc.,ABBV,US00287Y1091,89.63,158182003839,7015890.52381,6040000000,24646000000,134798000000,149530000000,3126000000,0.1118,-524000000
445591,Acadia Pharmaceuticals Inc,ACAD,US0042251084,40.76,6427070631,1449111.16667,658551000,86422000,96636000,759649000,2673000,-0.34273,-529000
61372,Accenture plc,ACN,IE00B4BNMY34,236.82,155957574180,1600438.78571,6445937000,11828281000,18573674000,35057319000,1526402000,0.3639,-1526291000
243,Activision Blizzard,ATVI,US00507V1098,78.77,60800362009,6792074.7619,6338000000,2557000000,6538000000,20220000000,268000000,0.14726,-213000000
14099,Adobe Systems,ADBE,US00724F1012,474.3,227505222858,3017255.42857,4351000000,5164000000,10722000000,21603000000,822161000,0.23506,-11011000
54871,ADT Inc.,ADT,US00090Q1031,9.17,6976393443,8593561.19048,45473000,1236862000,13164125000,15958240000,1959233000,0.089,158628000
191397,ADVANCED MICRO DEVICES INC,AMD,US0079031078,76.55,89874041380,69711778.09524,1775000000,2434000000,3278000000,6583000000,264000000,0.09634,-52000000
62329,AES CORP,AES,US00130H1059,18.43,12258367058,4765489.57143,1839000000,5448000000,29049000000,34566000000,1072000000,0.03026,-382000000
62581,AFLAC INC,AFL,US0010551028,37.62,26819763660,3356429.5,5528000000,,127667000000,157087000000,,,-954000000
45846,AGILENT TECHNOLOGIES INC,A,US00846U1016,99.6,30707639646,1342004.47619,1358000000,1314000000,4565000000,9546000000,308000000,0.08922,-99000000
2226695,AGNICO EAGLE MINES LTD,AEM,CA0084741085,84.13,14456646810,1448066.64286,351277000,263713000,1870488000,5255842000,,,-124225000
69211,AKAMAI TECHNOLOGIES INC,AKAM,US00971T1016,106.88,17389895544,1573500.69048,1372609000,657422000,3320503000,7224798000,458192000,0.08673,-42635000
65470,"ALASKA AIR GROUP, INC.",ALK,US0116591092,42.15,5211414620,2374651.2381,2803000000,4120000000,10137000000,13998000000,427000000,0.04379,6000000
132877,ALBEMARLE CORP,ALB,US0126531013,100.45,10683659995,1032591.95238,736696000,1420803000,5964092000,10170253000,222788000,-0.00704,-54109000
1077533,"Albertsons Companies, Inc.",ACI,US0130911037,13.31,6376140247,2305832.7381,2022200000,6750300000,23193800000,25987800000,1635500000,0.17043,-319000000
18347619,Alcon Inc.,ALC,CH0432492467,59.11,28861218246,1207925.40476,822000000,21261000000,27635000000,27655000000,1456000000,0.20551,-324000000
65359,ALEXION PHARMACEUTICALS INC,ALXN,US0153511094,114.13,25014212550,1964467.16667,2851800000,1120100000,6212400000,16703200000,362200000,0.13907,397100000
1202765,Alibaba Group Holding Ltd,BABA,US01609W1027,275.72,569141224000,13882455.28571,51296000000,34159000000,61198000000,185429000000,6090665926,0.14697,-2951805991
119577,ALLIANT ENERGY CORP,LNT,US0188021085,52.18,13026442287,1311927.71429,208100000,1220900000,11521400000,17269700000,585800000,-0.03448,-15400000
849433,Allianz SE,ALV.DE,DE0008404005,212.5,88522651175,1019146.54762,23336444779,,1034022089102,1119690925319,2315969160,0.04577,-3108863824
68840,ALLSTATE CORP,ALL,US0200021014,92.8,28982939462,1831928.5,711000000,,112743000000,130810000000,,,-1095000000
510248,Ally Financial Inc.,ALLY,US02005N1000,26.09,9753410539,4347190.04762,,,153297000000,173704000000,1605000000,,-172000000
18,Alphabet (Google),GOOG,US02079K1079,74.78,1017252732506,36683917.14286,121080000000,43658000000,71170000000,278492000000,11891000000,0.10296,-3832000000
695370,"Alteryx, Inc.",AYX,US02156B1035,107.19,7093445207,2651420.78571,735795000,224183000,906761000,1316239000,11848000,-0.04425,7150000
997777,"Altice USA, Inc.",ATUS,US02156K1034,26.63,15394733229,5874227.19048,1952142000,3692976000,33640672000,34813846000,2202459000,0.0871,-104477000
133574,"ALTRIA GROUP, INC.",MO,US02209S1033,40.86,75934109674,7605045.11905,4826000000,9400000000,44376000000,50200000000,250000000,0.57243,-2250000000
62747,AMAZON COM INC,AMZN,US0231351067,150.44,1507076781929,94175112.85714,71391000000,93896000000,184586000000,258314000000,22843000000,0.17865,-3008000000
6475603,Amcor plc,AMCR,JE00BJ1F3079,11.32,17670520000,7527713.45238,742600000,3973600000,11755000000,16442100000,651600000,0.16328,-186900000
68703,AMEREN CORP,AEE,US0236081024,77.62,19178313041,1122065.40476,8000000,2000000000,21647000000,30016000000,1040000000,-0.00256,-187000000
68568,American Airlines Group Inc.,AAL,US02376R1023,13.63,6931688652,66303653.61905,9813000000,18000000000,67713000000,64544000000,,,952000000
445593,American Campus Communities Inc,ACC,US0248351001,37.03,5096516330,1012592.2619,31011000,72335000,4222568000,7514510000,270086000,0.09573,-1589000
445654,American Capital Agency Corp,AGNC,US00123Q1040,14.6,8110550171,6942714.45238,859000000,79299000000,79503000000,89853000000,0,,
66050,AMERICAN ELECTRIC POWER CO INC,AEP,US0255371017,80.04,39712281097,3170241.38095,541100000,10122000000,57462900000,77804800000,2637800000,0.0617,-56100000
413080,AMERICAN EXPRESS CO,AXP,US0258161092,104.66,84268162924,3763094.66667,2043000000,,167546000000,188608000000,1316000000,-0.01862,-1254000000
445723,American Homes 4 Rent,AMH,US02665T3068,28.83,8684595219,1737225.04762,32010000,287036000,3241965000,9271774000,332949000,,
251769,AMERICAN INTERNATIONAL GROUP INC,AIG,US0268747849,28.7,24723152930,6694649.07143,3408000000,,506570000000,569388000000,4909000000,,489000000
68339,AMERICAN TOWER CORP /MA/,AMT,US03027X1000,250.73,111215771544,1506160.7381,2038100000,5944900000,36913300000,41515900000,1819800000,0.08233,31600000
