SimFin ID,Company,Ticker,ISIN,Price Close,MCAP,Volume (SMA 2m),Cash and eq.,Cur. liab.,Liabilities,Assets,D&A,CROIC,Taxes
242,21st Century Fox,FOX_old,n/a,29.17,54166632144,1064406.28571,21281000000,7935000000,32651000000,65886000000,617000000,0.10884,-1219000000
22219,3M CO,MMM,US88579Y1010,101.04,55966056000,3761120.78571,4314000000,10936000000,41023000000,48880000000,1825000000,0.08148,1641000000
63877,ABBOTT LABORATORIES,ABT,US0028241000,101,175633626699,4267224.2381,8155000000,14350000000,35950000000,73354000000,3228000000,0.13582,-1115000000
61199,AbbVie Inc.,ABBV,US00287Y1091,153.94,273311017468,4650674.19048,8766000000,32239000000,122469000000,135367000000,8749000000,0.27864,-1758000000
61372,Accenture plc,ACN,IE00B4BNMY34,315.88,199489326973,1754586.5,8539928000,17092528000,26096922000,50128275000,2174709000,0.3856,-2137463000
243,Activision Blizzard,ATVI,US00507V1098,91.91,72241260000,6463548.64286,13084000000,3322000000,7725000000,28518000000,95000000,0.09466,-412000000
14099,Adobe Systems,ADBE,US00724F1012,532.42,243848360000,2774127.28571,6601000000,8019000000,13000000000,27838000000,863000000,0.42762,-1367000000
54871,ADT Inc.,ADT,US00090Q1031,6.08,5526720000,2238231.71429,146435000,2318906000,14016367000,17334379000,1546929000,0.10987,95475000
191397,ADVANCED MICRO DEVICES INC,AMD,US0079031078,102.37,165020440000,61853052.14286,6285000000,7572000000,12831000000,67967000000,4216000000,0.02151,299000000
17685538,AerCap Holdings N.V.,AER,NL0000687663,63.61,15643688403,1478565.16667,1490369000,5238577000,35924832000,43867380000,2389807000,,17231000
62329,AES CORP,AES,US00130H1059,17.08,11362694739,5901262.16667,2035000000,4683000000,35458000000,41505000000,1069000000,-0.07273,-294000000
1242005,"Affirm Holdings, Inc.",AFRM,US00827B1061,25.01,7345020108,15155587.38095,2066680000,276835000,5621432000,8155615000,134634000,-0.14593,3900000
62581,AFLAC INC,AFL,US0010551028,76.92,47678477400,2295517.07143,4720000000,,110187000000,130626000000,,,-191000000
45846,AGILENT TECHNOLOGIES INC,A,US00846U1016,112.69,33130860000,2034633.88095,1329000000,1760000000,5117000000,10675000000,282000000,0.17458,-241000000
11794922,"agilon health, inc.",AGL,US00857U1079,18.57,7619976660,2201306.09524,580027000,1362352000,1473475000,2352921000,17061000,-0.22214,-445000
2226695,AGNICO EAGLE MINES LTD,AEM,CA0084741085,49.79,22727407088,1994929.64286,351277000,263713000,1870488000,5255842000,,,-124225000
1214552,"Airbnb, Inc.",ABNB,US0090661010,142.55,90519250000,7485225.45238,10340000000,13624000000,16129000000,21188000000,45763000,0.34594,-120024000
69211,AKAMAI TECHNOLOGIES INC,AKAM,US00971T1016,105.59,16589139310,1723376.59524,790559000,860774000,4056798000,8345965000,574137000,0.1243,-92559000
132877,ALBEMARLE CORP,ALB,US0126531013,181.62,21291675840,1847412.64286,1599738000,4291513000,9021628000,19109668000,343630000,0.03093,-540990000
1077533,"Albertsons Companies, Inc.",ACI,US0130911037,23.43,13488168342,3620444.78571,225000000,7724000000,23818000000,25816000000,1790400000,0.04807,-341200000
367153,Alcoa Corp,AA,US0138721065,28.85,5146962670,5875071.97619,990000000,2596000000,7670000000,14128000000,602000000,-0.0078,-294000000
1202765,Alibaba Group Holding Ltd,BABA,US01609W1027,87.02,224631252500,16761137.85714,76639741687,56310563233,92078601161,256168778626,2793610790,0.09485,-2269598943
11794936,"Allegro MicroSystems, Inc.",ALGM,US01749D1054,33.2,6374311356,1457972.09524,353408000,153545000,206325000,1234090000,53163000,0.14264,-29102000
119577,ALLIANT ENERGY CORP,LNT,US0188021085,52.19,13136223000,1518738.69048,13000000,1893000000,13931000000,20383000000,672000000,-0.04902,-8000000
68840,ALLSTATE CORP,ALL,US0200021014,111.04,29358976000,1532022.47619,699000000,,85142000000,100514000000,-89000000,-0.04965,812000000
510248,Ally Financial Inc.,ALLY,US02005N1000,28.57,8676251880,4612656.95238,9972000000,,183709000000,197241000000,1327000000,,-627000000
18,Alphabet (Google),GOOG,US02079K1079,138.96,1776047760000,22298263.35714,118332000000,77709000000,115903000000,383044000000,14337000000,0.25797,-12535000000
133574,"ALTRIA GROUP, INC.",MO,US02209S1033,43.35,77381463886,7845244.7619,874000000,11664000000,40928000000,37151000000,231000000,0.51643,-1578000000
62747,AMAZON COM INC,AMZN,US0231351067,139.98,1453638461452,53509211.14286,63970000000,148238000000,309005000000,477607000000,42718000000,-0.0487,-594000000
6475603,Amcor plc,AMCR,JE00BJ1F3079,9.28,13641600000,7265631.88095,689000000,4476000000,12913000000,17003000000,586000000,0.11062,-193000000
68703,AMEREN CORP,AEE,US0236081024,80.68,21186568000,1228772.7381,7000000,3243000000,28121000000,38947000000,1476000000,-0.01894,-181000000
68568,American Airlines Group Inc.,AAL,US02376R1023,13.11,8533875840,23817368.30952,12061000000,24316000000,71645000000,67260000000,,,-814000000
445654,American Capital Agency Corp,AGNC,US00123Q1040,10.17,6089796000,11453354.88095,3303000000,52120000000,52640000000,60518000000,,,
