SimFin ID,Company,Ticker,ISIN,Revenues,EBIT,Net income,FCF,P/E,ROA,Price Close,MCAP,Volume (SMA 2m),COGS,Avg. shares basic,Gross Profit,Op. Exp.,SG&A,EBITDA,ST debt,Cur. assets,Debt,Equity,Chg. WC,Op. CF,Inv. CF,Net Cash from Equity,Fin. CF,Gross Margin,Operating Margin,Net Margin,ROE,FCF/Net inc.,R&D
242,21st Century Fox,FOX_old,n/a,31037000000,6578000000,13878000000,6404000000,4.38274,0.21064,32.82,60944424647,1415205.38095,-20057000000,1853250000,10980000000,-4402000000,-3785000000,7195000000,887000000,34017000000,19208000000,33235000000,-1478000000,4280000000,13321000000,0,-1863000000,0.35377,0.21194,0.44714,0.41757,0.46145,
22219,3M CO,MMM,US88579Y1010,32131000000,6612000000,4908000000,8076000000,19.87527,0.12595,168.07,96687149934,2860707.04762,-16842000000,580400000,15289000000,-8677000000,-6863000000,8089000000,892000000,14051000000,15806000000,10142000000,238000000,7107000000,-1920000000,-2889000000,-5082000000,0.47583,0.20578,0.15275,0.48393,1.64548,-1814000000
63877,ABBOTT LABORATORIES,ABT,US0028241000,30935000000,4105000000,2895000000,5898000000,50.90537,0.04231,83.58,147719092662,4500434.69048,-12796000000,1763233500,18139000000,-14034000000,-9648000000,7185000000,212000000,15195000000,19194000000,31894000000,-177000000,5720000000,-1713000000,17000000,-3896000000,0.58636,0.1327,0.09358,0.09077,2.03731,-2385000000
61199,AbbVie Inc.,ABBV,US00287Y1091,32624000000,7729000000,4118000000,7228000000,25.92848,0.07207,71.6,105859442801,8944236.52381,-7370000000,1491250000,25254000000,-17525000000,-7182000000,9611000000,5641000000,15100000000,37260000000,-8566000000,-1364000000,13410000000,-1413000000,-3676000000,-10362000000,0.77409,0.23691,0.12623,-0.48074,1.75522,-10343000000
445591,Acadia Pharmaceuticals Inc,ACAD,US0042251084,264040000,-273271000,-267875000,-271013000,-21.66736,-0.58122,42.6,6155164433,2406070.69048,-12570000,136247500,251470000,-524741000,-296431000,-270258000,,436940000,0,388914000,498000,-183931000,-123780000,309636000,309636000,0.95239,-1.03496,-1.01452,-0.68878,1.01171,-221538000
61372,Accenture plc,ACN,IE00B4BNMY34,42801612000,6186252000,4678209000,7835658000,26.42885,0.16615,194.95,127641368050,1813489.5,-29698409000,639061987,13103203000,-6916951000,-6916951000,7073934000,4137000,14141660000,23992000,14142958000,-99426000,6619958000,-1754676000,-1995642000,-3947769000,0.30614,0.14453,0.1093,0.33078,1.67493,
243,Activision Blizzard,ATVI,US00507V1098,7114000000,1944000000,1686000000,1434000000,25.09791,0.09637,55.35,42454885779,7294119.92857,-2341000000,764500000,4773000000,-2829000000,-1748000000,2352000000,,5663000000,2673000000,11977000000,-956000000,1856000000,-69000000,79000000,-2044000000,0.67093,0.27326,0.237,0.14077,0.85053,-1081000000
14099,Adobe Systems,ADBE,US00724F1012,10100927000,2883529000,2651365000,3636548000,52.44919,0.13482,284.69,138047035070,2388396.7381,-1459527000,488468000,8641400000,-5757871000,-3855963000,3367647000,3145668000,5342645000,4133606000,9931693000,438543000,4186073000,-4781057000,-2099780000,-302943000,0.85551,0.28547,0.26249,0.26696,1.37158,-1755510000
184955,ADVANCE AUTO PARTS INC,AAP,US00751Y1064,9664336000,617206000,436605000,874820000,26.43356,0.03875,156.07,11141367529,1299625.95238,-5414715000,72603000,4249621000,-3632415000,-3632415000,850403000,,5962471000,746951000,3671302000,120726000,859221000,-233449000,-419184000,-777241000,0.43972,0.06386,0.04518,0.11892,2.00369,
191397,ADVANCED MICRO DEVICES INC,AMD,US0079031078,5875000000,215000000,191000000,-498000000,166.9566,0.03744,30.99,33641081665,63395945.88095,-3535000000,1029000000,2340000000,-2125000000,-645000000,397000000,0,3754000000,1031000000,1901000000,-694000000,-45000000,-199000000,70000000,256000000,0.3983,0.0366,0.03251,0.10047,-2.60733,-1480000000
62329,AES CORP,AES,US00130H1059,10592000000,2209000000,400000000,1448000000,26.34761,0.01203,15.89,10548569540,5034152.07143,-8187000000,663250000,2405000000,-196000000,-196000000,3212000000,1087000000,5517000000,19755000000,6364000000,-86000000,2443000000,-1738000000,0,-806000000,0.22706,0.20855,0.03776,0.06285,3.62,
62581,AFLAC INC,AFL,US0010551028,21871000000,4445000000,3115000000,,12.72461,0.02057,52.44,38825702087,3551547.7381,,755857250,,,,,,,0,28241000000,1133000000,5564000000,-4866000000,-1475000000,-1606000000,,0.20324,0.14243,0.1103,,
45846,AGILENT TECHNOLOGIES INC,A,US00846U1016,5090000000,940000000,1072000000,776000000,22.55653,0.12429,76.4,23643330599,2693483.78571,-2313000000,316500000,2777000000,-1837000000,-1431000000,1158000000,504000000,3457000000,1798000000,4747000000,-82000000,1079000000,-511000000,-705000000,-927000000,0.54558,0.18468,0.21061,0.22583,0.72388,-406000000
2226695,AGNICO EAGLE MINES LTD,AEM,CA0084741085,1917714000,519556000,310916000,,31.78069,0.05916,57.7,9914994900,1684917.11905,-897712000,171250000,1020002000,-500446000,-119085000,,,901434000,842955000,3385354000,-20465000,696007000,-376156000,20711000,-202606000,0.53188,0.27092,0.16213,0.09184,,-109500000
185217,AIR PRODUCTS & CHEMICALS INC /DE/,APD,US0091581068,8934600000,2074900000,1709700000,,28.51432,0.08753,221.57,48824088148,1046802.64286,-6079500000,220025000,2855100000,-780200000,-754100000,,546400000,4915200000,3819700000,11726600000,-616100000,1818300000,-826200000,-180800000,-364700000,0.31956,0.23223,0.19136,0.1458,,-70400000
69211,AKAMAI TECHNOLOGIES INC,AKAM,US00971T1016,2794573000,526731000,422643000,688627000,35.35535,0.0791,91.18,15043103256,1792802.35714,-966109000,163881250,1828464000,-1301733000,-1016929000,965128000,0,1744794000,893191000,3394764000,-64957000,1075415000,-150132000,-623458000,-1388647000,0.65429,0.18848,0.15124,0.1245,1.62933,-248971000
65470,"ALASKA AIR GROUP, INC.",ALK,US0116591092,8440000000,828000000,506000000,631188288,15.81963,0.03907,64.92,8002834665,1034938.45238,-6713752776,123301500,1708648146,-884360623,-319000000,1162807838,562146080,2218000000,3515606611,3973000000,531130197,1502000000,-693000000,-50000000,-663000000,0.20244,0.0981,0.05995,0.12736,1.24741,
132877,ALBEMARLE CORP,ALB,US0126531013,3416563000,687735000,547108000,-106182000,13.16279,0.06759,67.76,7181629249,1564518.04762,-2206242000,106279000,1210321000,-522586000,-461153000,889860000,490691000,2036637000,1889110000,3974403000,-284014000,521596000,-836311000,-244450000,-167692000,0.35425,0.20129,0.16013,0.13766,-0.19408,-61433000
65359,ALEXION PHARMACEUTICALS INC,ALXN,US0153511094,4499000000,1884400000,1333600000,1710500000,18.07341,0.09154,107.83,24178384255,2915677.57143,-372400000,223525000,4126600000,-2242200000,-1158200000,2281400000,126600000,4168500000,2564900000,10163500000,-430400000,1438800000,118800000,-5700000,-299400000,0.91723,0.41885,0.29642,0.13121,1.28262,-763900000
1202765,Alibaba Group Holding Ltd,BABA,US01609W1027,56153080936,10104437303,13053172904,15234215046,35.3799,0.09077,179,461641000000,15288498.45238,-30834246757,2580000000,25318834178,-15214396874,-9636251581,15629684463,3347000000,40272000000,20011000000,91697000000,4535232540,22496607069,-22509272819,-1567274801,-1101473220,0.45089,0.17994,0.23246,0.14235,1.16709,-5578145293
445691,Align Technology Inc,ALGN,US0162551016,2188977000,458872000,417254000,463402000,34.04025,0.17786,177.65,14189062010,1639755.19048,-599715000,79951750,1589262000,-1130390000,-955750000,535702000,,1457374000,0,1373682000,17280000,632121000,-368096000,-281842000,-387070000,0.72603,0.20963,0.19062,0.30375,1.1106,-144858000
442340,Allergan Inc.,AGN_old,n/a,7237900000,2009300000,1524200000,2262500000,32.43102,0.12276,166.1,51093333346,3893033.42857,-842400000,297600000,6395500000,-4386200000,-2837200000,2257400000,72100000,6871200000,2157400000,7763000000,-193200000,1927800000,182700000,-318200000,-204000000,0.88361,0.27761,0.21059,0.19634,1.48439,-1191600000
