SimFin ID,Company,Ticker,ISIN,Price Close,MCAP,Volume (SMA 2m),Cash and eq.,Cur. liab.,Liabilities,Assets,D&A,CROIC,Taxes
242,21st Century Fox,FOX_old,n/a,53.57,99475710797,1619906.02381,21281000000,7935000000,32651000000,65886000000,617000000,0.10884,-1219000000
18615200,"360 DigiTech, Inc.",QFIN,US88557W1018,30.76,8735265403,2099701.61905,1091405355,3225858666,3322472482,6694994034,10224861,,
22219,3M CO,MMM,US88579Y1010,155.16,82642824562,3135125.30952,4214000000,7808000000,33638000000,37989000000,1212000000,-0.03277,-891000000
919501,AAON INC,AAON,US0003602069,80.52,6564850032,1300146.02381,994000,206617000,484341000,1300193000,73691000,-0.05563,-33431000
63877,ABBOTT LABORATORIES,ABT,US0028241000,134.17,233517385908,5376439.09524,7282000000,13439000000,33170000000,83999000000,3141000000,-0.09623,6081000000
61199,AbbVie Inc.,ABBV,US00287Y1091,220.81,390073727845,4755740.83333,6467000000,39767000000,137320000000,137182000000,8270000000,0.16573,741000000
61372,Accenture plc,ACN,IE00B4BNMY34,241.24,164199081568,4319803.95238,9637395000,20808428000,31812514000,63362028000,2279067000,0.30646,-2426459000
14099,Adobe Systems,ADBE,US00724F1012,362.07,153590094000,4198800.47619,5713000000,9556000000,16659000000,28107000000,857000000,0.57932,-1447000000
54871,ADT Inc.,ADT,US00090Q1031,8.61,7157246048,11734246.38095,45195000,2051886000,12312691000,15972070000,1354287000,0.08138,-189291000
191397,ADVANCED MICRO DEVICES INC,AMD,US0079031078,159.16,258291801541,55279985.38095,5867000000,9843000000,15155000000,74820000000,3010000000,0.03721,319000000
17685538,AerCap Holdings N.V.,AER,NL0000687663,120.88,22578356238,1689743.2619,1490369000,5238577000,35924832000,43867380000,2480578000,,-291056000
62329,AES CORP,AES,US00130H1059,12.51,8907740046,9201807.42857,1350000000,6689000000,40859000000,48542000000,1218000000,-0.02319,-140000000
1242005,"Affirm Holdings, Inc.",AFRM,US00827B1061,90.4,29438788386,8522759.69048,2225880000,476257000,8085920000,11154928000,225076000,-0.30367,-9279000
62581,AFLAC INC,AFL,US0010551028,109.23,58419643653,2457884.7381,5231000000,,93920000000,120258000000,,,-757000000
45846,AGILENT TECHNOLOGIES INC,A,US00846U1016,126.72,35925174109,1600062.07143,1535000000,1892000000,5856000000,12226000000,286000000,0.13009,-174000000
2226695,AGNICO EAGLE MINES LTD,AEM,CA0084741085,153.2,76864960166,2734319.64286,351277000,263713000,1870488000,5255842000,,,-124225000
6480964,Agree Realty Corporation,ADC,US0084921008,71.98,7965743935,1025762.66667,5824000,161128000,3380673000,9084744000,222763000,0.06666,-3402000
182952,AIR LEASE CORP,AL,US00912X3026,63.55,7102667784,1869114.07143,454801000,2604083000,25071179000,33295410000,1187826000,0.00166,-250545000
1214552,"Airbnb, Inc.",ABNB,US0090661010,123.2,78232000000,4909211.35714,11356000000,18816000000,19210000000,26992000000,37000000,,-684000000
69211,AKAMAI TECHNOLOGIES INC,AKAM,US00971T1016,75.84,10874358444,1930597.95238,1557873000,634320000,6068627000,10536135000,683161000,0.08443,-132635000
65470,"ALASKA AIR GROUP, INC.",ALK,US0116591092,58.49,7379050029,2548493.66667,2509000000,4968000000,11116000000,15342000000,488000000,-0.0333,-110000000
132877,ALBEMARLE CORP,ALB,US0126531013,80.16,9433463829,4641942.97619,1806829000,1949784000,6792943000,17291927000,657093000,0.05012,-151582000
1077533,"Albertsons Companies, Inc.",ACI,US0130911037,18.39,10295576087,5396729.38095,151000000,7867900000,23245500000,26469800000,1817900000,,-176900000
367153,Alcoa Corp,AA,US0138721065,32.86,8507937798,5441259.80952,1514000000,3272000000,8755000000,14990000000,619000000,0.10421,-352000000
18347619,Alcon Inc.,ALC,CH0432492467,77.2,38184380213,2097609.92857,1676000000,23638000000,30327000000,30347000000,1226000000,0.25652,-238000000
445788,Alexandria Real Estate Equities Inc,ARE,US0152711091,85.14,14725724833,1421714.95238,520545000,2744026000,15884626000,37623629000,1312291000,,
1202765,Alibaba Group Holding Ltd,BABA,US01609W1027,166.17,418291432500,18850324.7381,107962492030,60504639276,98225509352,248166789749,1829077612,0.06811,-4911861200
445691,Align Technology Inc,ALGN,US0162551016,129.44,9382635474,1831774.85714,901157000,2099041000,2306315000,6219094000,155646000,0.18634,-183057000
442346,Allegheny Technologies Inc.,ATI,US01741R1023,78.44,10811552434,2008365.38095,319600000,1072600000,3163000000,5021000000,160000000,0.11752,-111500000
11794936,"Allegro MicroSystems, Inc.",ALGM,US01749D1054,30.75,5689995037,1602214.57143,129106000,120685000,464951000,1389208000,64260000,0.01056,10804000
