SimFin ID,Company,Ticker,ISIN,Revenues,EBIT,Net income,FCF,P/E,ROA,Price Close,MCAP,Volume (SMA 2m),COGS,Avg. shares basic,Gross Profit,Op. Exp.,SG&A,EBITDA,ST debt,Cur. assets,Debt,Equity,Chg. WC,Op. CF,Inv. CF,Net Cash from Equity,Fin. CF,Gross Margin,Operating Margin,Net Margin,ROE,FCF/Net inc.,R&D
242,21st Century Fox,FOX_old,n/a,31037000000,6578000000,13878000000,6404000000,3.89532,0.21064,29.17,54166632144,1064406.28571,-20057000000,1853250000,10980000000,-4402000000,-3785000000,7195000000,887000000,34017000000,19208000000,33235000000,-1478000000,4280000000,13321000000,0,-1863000000,0.35377,0.21194,0.44714,0.41757,0.46145,
22219,3M CO,MMM,US88579Y1010,33054000000,-5382000000,-1465000000,3339000000,-38.35899,-0.02997,101.04,55966056000,3761120.78571,,556175000,,-24510000000,-18053000000,-3557000000,3033000000,15754000000,15987000000,7857000000,10163000000,6237000000,-851000000,-348000000,-3767000000,,-0.16282,-0.04432,-0.18646,-2.27918,-1851000000
63877,ABBOTT LABORATORIES,ABT,US0028241000,40226000000,6125000000,5161000000,8324000000,34.47909,0.07036,101,175633626699,4267224.2381,-18036000000,1761847393,22190000000,-16065000000,-11206000000,9353000000,2284000000,23505000000,16846000000,37404000000,-180000000,7452000000,-2791000000,-2274000000,-5699000000,0.55163,0.15226,0.1283,0.13798,1.61287,-2876000000
61199,AbbVie Inc.,ABBV,US00287Y1091,56023000000,18513000000,8685000000,30185000000,31.37992,0.06416,153.94,273311017468,4650674.19048,-17418000000,1770395096,38605000000,-20092000000,-13028000000,27262000000,5203000000,28852000000,61015000000,12898000000,1908000000,25542000000,-2000000,-1796000000,-25264000000,0.68909,0.33045,0.15503,0.67336,3.47553,-7429000000
61372,Accenture plc,ACN,IE00B4BNMY34,63550201000,9756421000,7163722000,12742639000,27.83768,0.14291,315.88,199489326973,1754586.5,-43054166000,631320070,20496035000,-10739614000,-10739614000,11931130000,10389000,23446505000,54254000,24031353000,-801025000,9904990000,-2663972000,-2437487000,-5266437000,0.32252,0.15352,0.11273,0.2981,1.77877,
243,Activision Blizzard,ATVI,US00507V1098,8706000000,2238000000,2165000000,2385000000,33.32533,0.07592,91.91,72241260000,6463548.64286,-2579000000,785000000,6127000000,-3889000000,-2319000000,2333000000,,15496000000,3612000000,20793000000,-261000000,2547000000,-2112000000,35000000,-164000000,0.70377,0.25706,0.24868,0.10412,1.10162,-1570000000
14099,Adobe Systems,ADBE,US00724F1012,18429000000,6199000000,4854000000,8475000000,50.8947,0.17437,532.42,243848360000,2774127.28571,-2254000000,464000000,16175000000,-9976000000,-6556000000,7062000000,,9274000000,3631000000,14838000000,484000000,7861000000,306000000,-5093000000,-6065000000,0.87769,0.33637,0.26339,0.32713,1.74598,-3251000000
54871,ADT Inc.,ADT,US00090Q1031,6455015000,1023538000,31969000,1741636000,166.75716,0.00184,6.08,5526720000,2238231.71429,-2019944000,893943000,4435071000,-3411533000,-1864604000,2570467000,836075000,1554967000,9670800000,3318012000,-22710000,1864719000,-1254339000,-20000000,-405126000,0.68707,0.15856,0.00495,0.00963,54.4789,
191397,ADVANCED MICRO DEVICES INC,AMD,US0079031078,21876000000,-409000000,-25000000,1315000000,-6798.3917,-0.00037,102.37,165020440000,61853052.14286,-12317000000,1660250000,9559000000,-9968000000,-2279000000,3807000000,753000000,16505000000,2467000000,55136000000,-1663000000,2397000000,-1906000000,-1302000000,-1614000000,0.43696,-0.0187,-0.00114,-0.00045,-52.6,-5499000000
17685538,AerCap Holdings N.V.,AER,NL0000687663,4404011000,2192942000,-298566000,2454115000,,,63.61,15643688403,1478565.16667,,127743828,,-2211069000,-565696000,3838315000,,5854683000,0,7942548000,-389483000,5246258000,-2235795000,,-3160815000,,0.49794,-0.06779,,-8.21967,
